lat,lon,time
52.22352659,6.88688480,2020-04-27T11:22:37Z
52.22352659,6.88688483,2020-04-27T11:22:38Z
52.22352659,6.88688486,2020-04-27T11:22:39Z
52.22352658,6.88688489,2020-04-27T11:22:40Z
52.22352658,6.88688492,2020-04-27T11:22:41Z
52.22352569,6.88688440,2020-04-27T11:22:42Z
52.22352541,6.88688473,2020-04-27T11:22:43Z
52.22352526,6.88688453,2020-04-27T11:22:44Z
52.22352519,6.88688453,2020-04-27T11:22:45Z
52.22352515,6.88688456,2020-04-27T11:22:46Z
52.22352512,6.88688486,2020-04-27T11:22:47Z
52.22352510,6.88688524,2020-04-27T11:22:48Z
52.22352331,6.88690092,2020-04-27T11:22:49Z
52.22351890,6.88691697,2020-04-27T11:22:50Z
52.22351305,6.88692626,2020-04-27T11:22:51Z
52.22350517,6.88693056,2020-04-27T11:22:52Z
52.22349863,6.88693353,2020-04-27T11:22:53Z
52.22349577,6.88692879,2020-04-27T11:22:54Z
52.22349208,6.88692319,2020-04-27T11:22:55Z
52.22348573,6.88692111,2020-04-27T11:22:56Z
52.22348058,6.88691782,2020-04-27T11:22:57Z
52.22347336,6.88691981,2020-04-27T11:22:58Z
52.22346469,6.88692680,2020-04-27T11:22:59Z
52.22345728,6.88693142,2020-04-27T11:23:00Z
52.22344984,6.88693509,2020-04-27T11:23:01Z
52.22344178,6.88693804,2020-04-27T11:23:02Z
52.22343442,6.88694242,2020-04-27T11:23:03Z
52.22342590,6.88694906,2020-04-27T11:23:04Z
52.22341751,6.88695671,2020-04-27T11:23:05Z
52.22341042,6.88696200,2020-04-27T11:23:06Z
52.22340337,6.88696235,2020-04-27T11:23:07Z
52.22339409,6.88696019,2020-04-27T11:23:08Z
52.22337975,6.88696528,2020-04-27T11:23:09Z
52.22336879,6.88696784,2020-04-27T11:23:10Z
52.22335980,6.88696989,2020-04-27T11:23:11Z
52.22334959,6.88696633,2020-04-27T11:23:12Z
52.22333825,6.88696149,2020-04-27T11:23:13Z
52.22332886,6.88695460,2020-04-27T11:23:14Z
52.22331869,6.88694760,2020-04-27T11:23:15Z
52.22330848,6.88694207,2020-04-27T11:23:16Z
52.22329852,6.88693901,2020-04-27T11:23:17Z
52.22328708,6.88693688,2020-04-27T11:23:18Z
52.22327708,6.88693522,2020-04-27T11:23:19Z
52.22326592,6.88693380,2020-04-27T11:23:20Z
52.22325317,6.88693501,2020-04-27T11:23:21Z
52.22324110,6.88693462,2020-04-27T11:23:22Z
52.22323326,6.88692688,2020-04-27T11:23:23Z
52.22322345,6.88691221,2020-04-27T11:23:24Z
52.22321267,6.88689508,2020-04-27T11:23:25Z
52.22320208,6.88688374,2020-04-27T11:23:26Z
52.22319092,6.88687843,2020-04-27T11:23:27Z
52.22318268,6.88687400,2020-04-27T11:23:28Z
52.22317224,6.88687262,2020-04-27T11:23:29Z
52.22316038,6.88687383,2020-04-27T11:23:30Z
52.22315008,6.88687688,2020-04-27T11:23:31Z
52.22313462,6.88689182,2020-04-27T11:23:32Z
52.22312210,6.88692148,2020-04-27T11:23:33Z
52.22311743,6.88693789,2020-04-27T11:23:34Z
52.22311184,6.88695148,2020-04-27T11:23:35Z
52.22310681,6.88696441,2020-04-27T11:23:36Z
52.22310251,6.88697556,2020-04-27T11:23:37Z
52.22309727,6.88698929,2020-04-27T11:23:38Z
52.22309454,6.88699927,2020-04-27T11:23:39Z
52.22309438,6.88700399,2020-04-27T11:23:40Z
52.22309386,6.88700816,2020-04-27T11:23:41Z
52.22309479,6.88700398,2020-04-27T11:23:42Z
52.22310075,6.88699398,2020-04-27T11:23:43Z
52.22310507,6.88699212,2020-04-27T11:23:44Z
52.22310613,6.88699603,2020-04-27T11:23:45Z
52.22310587,6.88700299,2020-04-27T11:23:46Z
52.22310264,6.88701487,2020-04-27T11:23:47Z
52.22309973,6.88702436,2020-04-27T11:23:48Z
52.22309635,6.88703776,2020-04-27T11:23:49Z
52.22309438,6.88704589,2020-04-27T11:23:50Z
52.22309302,6.88705385,2020-04-27T11:23:51Z
52.22309260,6.88705726,2020-04-27T11:23:52Z
52.22309257,6.88705742,2020-04-27T11:23:53Z
52.22309306,6.88704937,2020-04-27T11:23:54Z
52.22309509,6.88703742,2020-04-27T11:23:55Z
52.22309641,6.88702742,2020-04-27T11:23:56Z
52.22309547,6.88702823,2020-04-27T11:23:57Z
52.22309143,6.88703383,2020-04-27T11:23:58Z
52.22308551,6.88704854,2020-04-27T11:23:59Z
52.22308165,6.88706149,2020-04-27T11:24:00Z
52.22307833,6.88706964,2020-04-27T11:24:01Z
52.22307586,6.88707845,2020-04-27T11:24:02Z
52.22307317,6.88708205,2020-04-27T11:24:03Z
52.22306940,6.88708221,2020-04-27T11:24:04Z
52.22307113,6.88708727,2020-04-27T11:24:05Z
52.22307195,6.88708810,2020-04-27T11:24:06Z
52.22307221,6.88708010,2020-04-27T11:24:07Z
52.22307763,6.88707181,2020-04-27T11:24:08Z
52.22307925,6.88706809,2020-04-27T11:24:09Z
52.22307914,6.88706728,2020-04-27T11:24:10Z
52.22307812,6.88706904,2020-04-27T11:24:11Z
52.22307657,6.88705526,2020-04-27T11:24:12Z
52.22307808,6.88704609,2020-04-27T11:24:13Z
52.22308046,6.88704477,2020-04-27T11:24:14Z
52.22308252,6.88704056,2020-04-27T11:24:15Z
52.22308348,6.88703610,2020-04-27T11:24:16Z
52.22308292,6.88703355,2020-04-27T11:24:17Z
52.22308343,6.88702574,2020-04-27T11:24:18Z
52.22308604,6.88702463,2020-04-27T11:24:19Z
52.22308679,6.88702642,2020-04-27T11:24:20Z
52.22308171,6.88703734,2020-04-27T11:24:21Z
52.22308200,6.88703277,2020-04-27T11:24:22Z
52.22308225,6.88702565,2020-04-27T11:24:23Z
52.22307948,6.88702000,2020-04-27T11:24:24Z
52.22307669,6.88701934,2020-04-27T11:24:25Z
52.22307496,6.88701933,2020-04-27T11:24:26Z
52.22307444,6.88702124,2020-04-27T11:24:27Z
52.22307387,6.88702318,2020-04-27T11:24:28Z
52.22307626,6.88701917,2020-04-27T11:24:29Z
52.22308220,6.88701952,2020-04-27T11:24:30Z
52.22308897,6.88702782,2020-04-27T11:24:31Z
52.22309099,6.88703290,2020-04-27T11:24:32Z
52.22309820,6.88702212,2020-04-27T11:24:33Z
52.22310491,6.88701198,2020-04-27T11:24:34Z
52.22310393,6.88702705,2020-04-27T11:24:35Z
52.22310207,6.88703878,2020-04-27T11:24:36Z
52.22310076,6.88704969,2020-04-27T11:24:37Z
52.22309831,6.88706157,2020-04-27T11:24:38Z
52.22309583,6.88706975,2020-04-27T11:24:39Z
52.22309228,6.88707721,2020-04-27T11:24:40Z
52.22308832,6.88708321,2020-04-27T11:24:41Z
52.22308497,6.88708940,2020-04-27T11:24:42Z
52.22308238,6.88709735,2020-04-27T11:24:43Z
52.22307998,6.88710401,2020-04-27T11:24:44Z
52.22307769,6.88710689,2020-04-27T11:24:45Z
52.22307620,6.88710979,2020-04-27T11:24:46Z
52.22307514,6.88711258,2020-04-27T11:24:47Z
52.22307403,6.88711511,2020-04-27T11:24:48Z
52.22307395,6.88711596,2020-04-27T11:24:49Z
52.22307357,6.88711703,2020-04-27T11:24:50Z
52.22307262,6.88711932,2020-04-27T11:24:51Z
52.22307186,6.88712099,2020-04-27T11:24:52Z
52.22307101,6.88712278,2020-04-27T11:24:53Z
52.22307026,6.88712430,2020-04-27T11:24:54Z
52.22306973,6.88712548,2020-04-27T11:24:55Z
52.22306927,6.88712641,2020-04-27T11:24:56Z
52.22306852,6.88712853,2020-04-27T11:24:57Z
52.22306810,6.88712990,2020-04-27T11:24:58Z
52.22306771,6.88713129,2020-04-27T11:24:59Z
52.22306739,6.88713242,2020-04-27T11:25:00Z
52.22306721,6.88713301,2020-04-27T11:25:01Z
52.22306698,6.88713376,2020-04-27T11:25:02Z
52.22306680,6.88713423,2020-04-27T11:25:03Z
52.22306664,6.88713486,2020-04-27T11:25:04Z
